alias,pop,parent,dims,gating_method,gating_args,collapseDataForGating,groupBy,preprocessing_method,preprocessing_args
boundary,boundary,root,"FSC-A,SSC-A",boundary,"max=c(2.5e5,2.5e5)",,,,
nonDebris,nonDebris+,boundary,FSC-A,mindensity,"gate_range=c(5e4,1e5),adjust=1.5",,,,
lymph,lymph,nonDebris,"FSC-A,SSC-A",flowClust,"K=2,quantile=0.95,target=c(1e5,5e4)",,,prior_flowClust,K=2
Live,Live-,lymph,Live,cytokine,tol=5e-2,,Center,standardize_flowset,
CD3A,CD3+,Live,CD3,mindensity,"gate_range=c(1000,2200)",,,,
CD3B,CD3+,CD3A,CD3,mindensity,"gate_range=c(1500,2200)",,,,
CD3,CD3,Live,CD3,refGate,CD3B,,,,
*,CD4+/-,CD3,CD4,mindensity,,,,,
CD8-,CD8-,CD3,CD8,mindensity,,,,,
CD8+,CD8+,CD4-,CD8,mindensity,,,,,
CD4,CD4+CD8-,CD3,"CD4,CD8",refGate,CD4+:CD8-,,,,
CD8,CD4-CD8+,CD3,"CD4,CD8",refGate,CD4-:CD8+,,,,
CD8_CD38,CD38+,CD8,CD38,cytokine,tol=9.5e-2,,Sample,standardize_flowset,
CD8_HLADR,HLADR+,CD8,HLADR,flowDensity,"percentile=.95,use.percentile=T",,,,
CD38+HLADR+,CD38+HLADR+,CD8,"CD38,HLADR",refGate,CD8_CD38:CD8_HLADR,,,,
*,CD45RA+/-,CD8,CD45RA,mindensity,,TRUE,Center,,
CCR7gate,CCR7,CD8/CD45RA+,CCR7,mindensity,adjust=1,TRUE,Center,,
CCR7gate,CCR7,CD8/CD45RA-,CCR7,mindensity,"adjust=0.3,gate_range=c(1500,2000)",TRUE,Center,,
*,CCR7+/-CD45RA+,CD8,"CCR7,CD45RA",refGate,CD8/CD45RA+/CCR7gate:CD8/CD45RA+,,,,
*,CCR7+/-CD45RA-,CD8,"CCR7,CD45RA",refGate,CD8/CD45RA-/CCR7gate:CD8/CD45RA-,,,,
CD4_CD38,CD38+,CD4,CD38,flowClust,K=2,,,prior_flowClust,"K=2,min=0"
CD4_HLADR,HLADR+,CD4,HLADR,cytokine,tol=5e-2,,Center,standardize_flowset,
CD38+HLADR+,CD38+HLADR+,CD4,"CD38,HLADR",refGate,CD4_CD38:CD4_HLADR,,,,
*,CD45RA+/-,CD4,CD45RA,mindensity,,,,,
CCR7gate,CCR7,CD4/CD45RA+,CCR7,flowClust,K=2,,,prior_flowClust,"K=2,min=0"
CCR7gate,CCR7,CD4/CD45RA-,CCR7,flowClust,K=2,,,prior_flowClust,"K=2,min=0"
*,CCR7+/-CD45RA+,CD4,"CCR7,CD45RA",refGate,CD4/CD45RA+/CCR7gate:CD4/CD45RA+,,,,
*,CCR7+/-CD45RA-,CD4,"CCR7,CD45RA",refGate,CD4/CD45RA-/CCR7gate:CD4/CD45RA-,,,,
